cod_municipio,deslizamiento,evento_extremo,incendio,inundacion,sequia,total_eventos,municipio,departamento,idx_inundacion,idx_deslizamiento,idx_incendio,idx_sequia,idx_evento_extremo,idx_ola_calor,idx_riesgo_compuesto,nivel_inundacion,nivel_deslizamiento,nivel_incendio,nivel_sequia,nivel_evento_extremo,nivel_ola_calor,nivel_riesgo_compuesto
00000,0,0,1,0,0,1,INIRIDA,GUAINIA,0.0,0.0,0.2,0.0,0.0,0.0,0.04,Sin datos,Sin datos,Bajo,Sin datos,Sin datos,Sin datos,Bajo
00005,0,0,0,0,1,1,DEPARTAMENTO,ANTIOQUIA,0.0,0.0,0.0,5.0,0.0,0.0,0.5,Sin datos,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00008,0,0,0,4,0,4,DEPARTAMENTO,ATLANTICO,1.1,0.0,0.0,0.0,0.0,0.0,0.28,Medio,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00013,0,0,0,2,2,4,DEPARTAMENTO,BOLIVAR,0.5,0.0,0.0,5.0,0.0,0.0,0.62,Bajo,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00017,1,0,0,3,0,4,DEPARTAMENTO,CALDAS,0.8,0.2,0.0,0.0,0.0,0.0,0.25,Bajo,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00018,0,0,0,5,0,5,DEPARTAMENTO,CAQUETA,1.3,0.0,0.0,0.0,0.0,0.0,0.32,Medio,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00019,0,0,0,3,0,3,DEPARTAMENTO,CAUCA,0.8,0.0,0.0,0.0,0.0,0.0,0.2,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00020,0,0,0,0,1,1,DEPARTAMENTO,CESAR,0.0,0.0,0.0,5.0,0.0,0.0,0.5,Sin datos,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00023,0,0,0,2,3,5,DEPARTAMENTO,CORDOBA,0.5,0.0,0.0,5.0,0.0,0.0,0.62,Bajo,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00025,0,0,0,4,0,4,DEPARTAMENTO,CUNDINAMARCA,1.1,0.0,0.0,0.0,0.0,0.0,0.28,Medio,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00027,0,0,0,2,0,2,DEPARTAMENTO,CHOCO,0.5,0.0,0.0,0.0,0.0,0.0,0.12,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00041,0,0,0,3,0,3,DEPARTAMENTO,HUILA,0.8,0.0,0.0,0.0,0.0,0.0,0.2,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00044,0,0,0,4,2,6,DEPARTAMENTO,LA GUAJIRA,1.1,0.0,0.0,5.0,0.0,0.0,0.78,Medio,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00047,0,0,0,4,0,4,DEPARTAMENTO,MAGDALENA,1.1,0.0,0.0,0.0,0.0,0.0,0.28,Medio,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00050,0,0,0,4,0,4,DEPARTAMENTO,META,1.1,0.0,0.0,0.0,0.0,0.0,0.28,Medio,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00052,0,0,0,3,0,3,DEPARTAMENTO,NARIÑO,0.8,0.0,0.0,0.0,0.0,0.0,0.2,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00054,0,0,0,16,0,16,DEPARTAMENTO,NORTE DE SANTANDER,4.2,0.0,0.0,0.0,0.0,0.0,1.05,Muy Alto,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Medio
00066,1,0,0,1,0,2,DEPARTAMENTO,RISARALDA,0.3,0.2,0.0,0.0,0.0,0.0,0.12,Bajo,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00068,0,0,0,2,1,3,DEPARTAMENTO,SANTANDER,0.5,0.0,0.0,5.0,0.0,0.0,0.62,Bajo,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00070,0,0,0,6,3,9,DEPARTAMENTO,SUCRE,1.6,0.0,0.0,5.0,0.0,0.0,0.9,Medio,Sin datos,Sin datos,Muy Alto,Sin datos,Sin datos,Bajo
00073,1,0,0,4,0,5,DEPARTAMENTO,TOLIMA,1.1,0.2,0.0,0.0,0.0,0.0,0.32,Medio,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00081,0,0,0,1,0,1,DEPARTAMENTO,ARAUCA,0.3,0.0,0.0,0.0,0.0,0.0,0.08,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00086,0,0,0,3,0,3,DEPARTAMENTO,PUTUMAYO,0.8,0.0,0.0,0.0,0.0,0.0,0.2,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
00091,0,0,0,1,0,1,DEPARTAMENTO,AMAZONAS,0.3,0.0,0.0,0.0,0.0,0.0,0.08,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
05001,37,1,24,25,0,87,MEDELLIN,ANTIOQUIA,5.0,5.0,4.3,0.0,0.6,0.0,3.45,Muy Alto,Muy Alto,Muy Alto,Sin datos,Bajo,Sin datos,Alto
05002,4,0,5,3,0,12,ABEJORRAL,ANTIOQUIA,0.8,0.8,0.9,0.0,0.0,0.0,0.58,Bajo,Bajo,Bajo,Sin datos,Sin datos,Sin datos,Bajo
05004,1,0,0,3,0,4,ABRIAQUI,ANTIOQUIA,0.8,0.2,0.0,0.0,0.0,0.0,0.25,Bajo,Bajo,Sin datos,Sin datos,Sin datos,Sin datos,Bajo
