municipio,departamento,temp_media_anual
Valledupar,Cesar,29.12
Majagual,Sucre,29.1
Puerto Wilches,Santander,28.9
Uribia,La Guajira,28.9
San Sebastián de Buenavista,Magdalena,28.88
Flandes,Tolima,28.85
Ambalema,Tolima,28.8
Albania,La Guajira,28.75
Manaure,La Guajira,28.7
Pinillos,Bolívar,28.7
Puerto Salgar,Cundinamarca,28.7
Ciénaga,Magdalena,28.67
La Gloria,Cesar,28.65
El Banco,Magdalena,28.65
Magangué,Bolívar,28.6
Puerto Carreño,Vichada,28.57
Soledad,Atlántico,28.57
Puerto Berrío,Antioquia,28.57
Zambrano,Bolívar,28.5
Aguachica,Cesar,28.5
Villavieja,Huila,28.45
Agustín Codazzi,Cesar,28.45
Tibú,Norte de Santander,28.4
Repelón,Atlántico,28.4
Chiriguaná,Cesar,28.4
San Pablo (Bolívar),Bolívar,28.4
Coyaima,Tolima,28.35
Jerusalén,Cundinamarca,28.35
Armero (Guayabal),Tolima,28.35
Riohacha,La Guajira,28.33
Puerto Parra,Santander,28.33
Ayapel,Cordoba,28.3
Soledad,Atlantico,28.3
San Benito Abad,Sucre,28.3
Honda,Tolima,28.3
San Pablo,Bolívar,28.25
Ayapel,Córdoba,28.2
Cereté,Córdoba,28.2
Natagaima,Tolima,28.17
Pivijai,Magdalena,28.17
Ríoviejo,Bolívar,28.15
El Guamo,Bolívar,28.13
Saldaña,Tolima,28.1
Juan de Acosta,Atlántico,28.05
Prado,Tolima,28.05
Guamo,Tolima,28.05
Manatí,Atlántico,27.98
Ciénaga de Oro,Córdoba,27.95
Maicao,La Guajira,27.95
Becerrill,Cesar,27.93
Planeta Rica,Córdoba,27.88
Caucasia,Antioquia,27.87
Espinal,Tolima,27.82
Lérida,Tolima,27.8
Sabana de Torres,Santander,27.8
Puerto Boyacá,Boyacá,27.8
Pailitas,Cesar,27.8
Cartagena de Indias,Bolívar,27.78
Urumita,La Guajira,27.75
Isla de Providencia,"Archipiélago de San Andres, Providencia y Santa Catalina",27.7
Puerto Escondido,Córdoba,27.7
Chima,Córdoba,27.65
Corozal,Sucre,27.65
Zona Bananera,Magdalena,27.63
Barrancabermeja,Santander,27.62
Montería,Córdoba,27.62
Arboletes,Antioquia,27.6
María La Baja,Bolívar,27.6
Isla de San Andrés,"Archipiélago de San Andres, Providencia y Santa Catalina",27.6
Lorica,Córdoba,27.58
El Carmén de Bolívar,Bolívar,27.5
Aguazul,Casanare,27.5
Cúcuta,Norte de Santander,27.42
Tierralta,Córdoba,27.4
Cimitarra,Santander,27.35
Sahagún,Córdoba,27.35
Montelíbano,Córdoba,27.35
San Bernardo del Viento,Córdoba,27.3
Necoclí,Antioquia,27.2
Paz de Ariporo,Casanare,27.2
Santa Catalina,Bolívar,27.13
Purificación,Tolima,27.12
Carepa,Antioquia,27.1
Baraya,Huila,27.07
Sampués,Sucre,27.0
Barranca de Upía,Meta,27.0
Puerto López,Meta,27.0
Arauca,Arauca,27.0
Trinidad,Casanare,26.95
Colosó,Sucre,26.95
Orocué,Casanare,26.9
Yopal,Casanare,26.85
Dibulla,La Guajira,26.8
Apartadó,Antioquia,26.7
Quibdó,Chocó,26.62
Inírida,Guainía,26.6
Lloró,Chocó,26.6
Sardinata,Norte de Santander,26.53
Tame,Arauca,26.5
San Diego,Cesar,26.45
Rio Quito (Paimadó),Chocó,26.4
Palermo,Huila,26.4
Patía (El Bordo),Cauca,26.4
Campoalegre,Huila,26.33
Valle De San Juan,Tolima,26.3
Puerto Lleras,Meta,26.25
Sonsón,Antioquia,26.2
Cumaribo,Vichada,26.18
Puerto Gaitán,Meta,26.1
Valle de San Juan,Tolima,26.1
Medio San Juan,Chocó,26.1
