evento,divipola,municipio,departamento,fecha
INCENDIO DE COBERTURA VEGETAL,5044,ANZA,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5467,MONTEBELLO,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5030,AMAGA,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5674,SAN VICENTE,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68418,LOS SANTOS,SANTANDER,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25899,ZIPAQUIRA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,50711,VISTAHERMOSA,META,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5376,LA CEJA,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5001,MEDELLIN,ANTIOQUIA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15097,BOAVITA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,94001,INIRIDA,GUAINIA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25875,VILLETA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25875,VILLETA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25095,BITUIMA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15753,SOATA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15720,SATIVANORTE,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15368,JERICO,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15599,RAMIRIQUI,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15516,PAIPA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,70221,COVEÑAS,SUCRE,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15673,SAN MATEO,BOYACA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15861,VENTAQUEMADA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25377,LA CALERA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25288,FUQUENE,CUNDINAMARCA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25279,FOMEQUE,CUNDINAMARCA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25899,ZIPAQUIRA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25513,PACHO,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25491,NOCAIMA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25815,TOCAIMA,CUNDINAMARCA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25718,SASAIMA,CUNDINAMARCA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73168,CHAPARRAL,TOLIMA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73043,ANZOATEGUI,TOLIMA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15810,TIPACOQUE,BOYACA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15861,VENTAQUEMADA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15368,JERICO,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15097,BOAVITA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15097,BOAVITA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25151,CAQUEZA,CUNDINAMARCA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25181,CHOACHI,CUNDINAMARCA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25297,GACHETA,CUNDINAMARCA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5088,BELLO,ANTIOQUIA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73411,LIBANO,TOLIMA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,20750,SAN DIEGO,CESAR,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,20250,EL PASO,CESAR,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68276,FLORIDABLANCA,SANTANDER,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68547,PIEDECUESTA,SANTANDER,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15516,PAIPA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,50568,PUERTO GAITAN,META,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73319,GUAMO,TOLIMA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73678,SAN LUIS,TOLIMA,2019-01-03T00:00:00.000
MOVIMIENTO EN MASA,18001,FLORENCIA,CAQUETA,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73678,SAN LUIS,TOLIMA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73547,PIEDRAS,TOLIMA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73671,SALDAÑA,TOLIMA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73152,CASABIANCA,TOLIMA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73319,GUAMO,TOLIMA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73873,VILLARRICA,TOLIMA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73268,ESPINAL,TOLIMA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73026,ALVARADO,TOLIMA,2019-01-01T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,20011,AGUACHICA,CESAR,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,20250,EL PASO,CESAR,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15104,BOYACA,BOYACA,2019-01-02T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15646,SAMACA,BOYACA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68502,ONZAGA,SANTANDER,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68549,PINCHOTE,SANTANDER,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68377,LA BELLEZA,SANTANDER,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,68167,CHARALA,SANTANDER,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,50001,VILLAVICENCIO,META,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,50001,VILLAVICENCIO,META,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,66383,LA CELIA,RISARALDA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,5042,SANTAFE DE ANTIOQUIA,ANTIOQUIA,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,15087,BELEN,BOYACA,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,44098,DISTRACCION,LA GUAJIRA,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,73449,MELGAR,TOLIMA,2019-01-04T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25845,UNE,CUNDINAMARCA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25394,LA PALMA,CUNDINAMARCA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25001,AGUA DE DIOS,CUNDINAMARCA,2019-01-03T00:00:00.000
INCENDIO DE COBERTURA VEGETAL,25743,SILVANIA,CUNDINAMARCA,2019-01-03T00:00:00.000
